cluster,model,mae,rmse,mape_pct
7,moving_avg_7d,1975.5684260966616,2515.0528129900854,12.320884938576372
16,moving_avg_7d,2174.521742163238,2570.1490747602334,21.300066922580115
12,moving_avg_7d,2418.78376722632,3018.482656715329,17.15245122084226
9,moving_avg_7d,2636.5700456133536,3272.6969837952674,12.74970435595061
2,moving_avg_7d,3009.0502414111024,3821.4571199031247,11.661081069708029
17,moving_avg_7d,3838.3169036296576,4672.918429406974,17.36673484835289
15,moving_avg_7d,4832.89792798913,6263.16768598478,12.151054105470678
1,moving_avg_7d,5455.157002135093,6816.4125342689185,13.587074095339577
13,moving_avg_7d,5895.97934054736,7672.61062493896,11.17009143242261
4,moving_avg_7d,6402.568917410714,8021.97296827181,17.232291377027824
8,moving_avg_7d,8611.745948175467,10996.144886271664,11.56353471294707
3,moving_avg_7d,8947.76015382376,11002.422149037131,14.515813595976343
5,moving_avg_7d,9131.585597826088,11434.65501364857,20.491068317008043
10,moving_avg_7d,14561.523486024847,18792.572521488677,18.875189528785114
11,moving_avg_7d,15691.685753105588,20126.484198394177,16.230652797597244
6,moving_avg_7d,15967.069220690993,20101.04721107723,15.993359733128948
14,moving_avg_7d,25923.71962344721,33269.62217528228,21.82800166191601
