trial,num_leaves,learning_rate,feature_fraction,bagging_fraction,reg_lambda,n_estimators,mae,rmse,mape_pct
1,127,0.03,0.6,0.8,2.0,1000,2273.6866684670385,3369.7970511631015,5.250593299465532
2,31,0.03,0.8,0.6,0.0,800,2399.3471990799057,3466.5790544699194,5.712916078621652
3,127,0.03,1.0,0.6,1.0,1000,2309.4909562302096,3415.522961153371,5.32549097428875
4,127,0.03,1.0,1.0,1.0,500,2319.663692655511,3419.393123632464,5.414158356347135
5,31,0.01,0.6,1.0,0.0,1000,2496.3351350185303,3661.9578503007556,5.9989015046908625
6,127,0.03,0.8,0.6,0.0,800,2285.773514205195,3394.8331829978065,5.2578996806154485
7,127,0.05,1.0,1.0,2.0,800,2300.786490866976,3467.8260081673925,5.319111248779194
8,63,0.05,0.6,0.6,2.0,500,2355.0567367368785,3446.1292633139155,5.491080313796299
9,31,0.05,0.8,0.8,2.0,800,2369.8134332609557,3465.897951457075,5.6618042313452355
10,127,0.01,0.6,1.0,1.0,800,2321.665649005351,3450.556729862939,5.4461436584107945
11,31,0.05,0.6,1.0,0.0,500,2512.518100161031,3648.219264718946,5.990025738403482
12,31,0.01,0.6,0.8,0.0,500,2663.6185810607885,3981.827095074945,6.536065512451507
13,127,0.03,0.6,0.8,0.0,800,2327.2197481812873,3469.142528698617,5.2647379393099
14,63,0.05,0.8,0.6,0.0,500,2343.4330992229798,3386.9222793904873,5.476580436884997
15,63,0.03,0.8,0.8,1.0,800,2355.208927949574,3439.934490268813,5.545682207633098
16,63,0.05,1.0,0.6,1.0,500,2423.9622662792194,3645.6016249263403,5.57896674947576
17,63,0.03,1.0,0.8,1.0,500,2410.7743075131402,3552.8651981800263,5.643053346002495
18,31,0.05,0.8,1.0,2.0,1000,2316.245233388737,3449.986128894841,5.518582097818602
19,31,0.01,0.6,0.8,1.0,1000,2531.7858414435495,3720.3081334503463,6.086608492786769
20,63,0.01,0.6,1.0,2.0,1000,2403.987422875798,3490.49394719055,5.733787093647793
21,63,0.01,1.0,1.0,0.0,1000,2474.7915079953755,3643.0291778694427,5.853336537165528
22,31,0.01,1.0,0.6,0.0,1000,2525.8826424949093,3727.409185040712,6.060297556254097
23,127,0.05,0.8,1.0,0.0,500,2310.7310945950417,3494.762082457443,5.2461050584703095
24,31,0.03,0.8,1.0,0.0,500,2492.6858435830995,3624.899944043377,5.916109716951961
25,127,0.01,0.6,1.0,1.0,500,2380.916543220604,3608.928082948398,5.637299914985571
26,127,0.05,0.8,0.8,1.0,800,2307.2875180143437,3446.0424675437675,5.278782426465567
27,31,0.01,1.0,1.0,1.0,800,2560.313306237438,3789.0743660797075,6.17742942801632
28,63,0.01,0.8,1.0,2.0,800,2433.4434399883353,3574.928380474392,5.794093514509205
29,31,0.03,0.8,1.0,0.0,500,2464.949018867457,3594.765561102194,5.841058918707522
30,31,0.03,0.6,1.0,0.0,800,2452.239756132364,3633.082134504822,5.755959144865141
