fold,train_end_date,horizon_days,model,mae,rmse,mape_pct
1,2017-01-31,7,lightgbm_cluster_daily,2028.7391036723611,2984.8701622797466,4.36752379389422
1,2017-01-31,7,seasonal_naive_7d,7691.2236328125,11380.9140625,14.62989616394043
1,2017-01-31,14,lightgbm_cluster_daily,2763.8478122479046,4621.070885138486,6.233128592365447
1,2017-01-31,14,seasonal_naive_7d,6988.2880859375,10277.79296875,14.652173042297363
1,2017-01-31,28,lightgbm_cluster_daily,3318.373323379216,5971.4552559401745,7.294612908569757
1,2017-01-31,28,seasonal_naive_7d,5883.85986328125,9742.0166015625,12.606925964355469
2,2017-03-10,7,lightgbm_cluster_daily,2720.7271038446315,4013.371261876291,5.925623046816851
2,2017-03-10,7,seasonal_naive_7d,3564.455810546875,5095.91015625,8.943946838378906
2,2017-03-10,14,lightgbm_cluster_daily,2545.6057613527955,3893.259376945431,5.496155428347331
2,2017-03-10,14,seasonal_naive_7d,3432.154296875,4781.44775390625,8.266640663146973
2,2017-03-10,28,lightgbm_cluster_daily,2994.108845884236,4810.792920792862,6.658023844504338
2,2017-03-10,28,seasonal_naive_7d,4292.18408203125,6563.18603515625,9.79662799835205
3,2017-04-19,7,lightgbm_cluster_daily,2977.89382118516,5267.928419165865,5.876760984535282
3,2017-04-19,7,seasonal_naive_7d,4938.23583984375,7887.7705078125,10.504693984985352
3,2017-04-19,14,lightgbm_cluster_daily,4108.5084504973065,7734.0396008768475,7.760785837805777
3,2017-04-19,14,seasonal_naive_7d,8191.74853515625,16639.986328125,14.031064987182617
3,2017-04-19,28,lightgbm_cluster_daily,3562.7105670938104,6286.796693396485,7.208239209557231
3,2017-04-19,28,seasonal_naive_7d,8146.73974609375,16254.6640625,15.588444709777832
4,2017-05-29,7,lightgbm_cluster_daily,3838.2542349976625,5612.793090694226,8.168180855209
4,2017-05-29,7,seasonal_naive_7d,6541.07666015625,9698.548828125,12.539993286132812
4,2017-05-29,14,lightgbm_cluster_daily,3246.797318384867,4692.790381197861,7.380593550901617
4,2017-05-29,14,seasonal_naive_7d,6333.86767578125,9140.3876953125,13.16420841217041
4,2017-05-29,28,lightgbm_cluster_daily,2680.6611019359725,3970.030129694962,6.351167977915084
4,2017-05-29,28,seasonal_naive_7d,4823.9697265625,7278.93896484375,10.668909072875977
5,2017-07-06,7,lightgbm_cluster_daily,1988.4657047992696,2991.2084917004636,4.701513377290191
5,2017-07-06,7,seasonal_naive_7d,5344.57373046875,7868.501953125,11.436260223388672
5,2017-07-06,14,lightgbm_cluster_daily,1778.257386135091,2685.8764849956865,4.227001986427751
5,2017-07-06,14,seasonal_naive_7d,4296.69482421875,6418.1435546875,9.38534927368164
5,2017-07-06,28,lightgbm_cluster_daily,2221.45691838178,3302.807810913862,5.220469472363631
5,2017-07-06,28,seasonal_naive_7d,4976.3720703125,8336.642578125,10.080853462219238
