fold,train_end_date,horizon_days,model,mae,rmse,mape_pct
1,2017-01-31,7,sarimax_cluster_daily,3256.361033644703,3901.6667123737625,7.223869303201126
1,2017-01-31,7,seasonal_naive_7d,7691.2236328125,11380.9140625,14.62989616394043
1,2017-01-31,14,sarimax_cluster_daily,3473.9272063742624,4825.178759923028,8.89926643733239
1,2017-01-31,14,seasonal_naive_7d,6988.2880859375,10277.79296875,14.652173042297363
1,2017-01-31,28,sarimax_cluster_daily,4078.0337288240503,5664.738068479022,9.466117363070989
1,2017-01-31,28,seasonal_naive_7d,5883.85986328125,9742.0166015625,12.606925964355469
2,2017-03-10,7,sarimax_cluster_daily,2472.9704701257956,2755.0925276537755,5.516712043559002
2,2017-03-10,7,seasonal_naive_7d,3564.455810546875,5095.91015625,8.943946838378906
2,2017-03-10,14,sarimax_cluster_daily,2757.013489121816,3368.4434456981985,6.20257301165865
2,2017-03-10,14,seasonal_naive_7d,3432.154296875,4781.44775390625,8.266640663146973
2,2017-03-10,28,sarimax_cluster_daily,3015.905027162373,3432.228474141066,7.112303173966314
2,2017-03-10,28,seasonal_naive_7d,4292.18408203125,6563.18603515625,9.79662799835205
3,2017-04-19,7,sarimax_cluster_daily,811.8412350481769,1217.3240635523964,2.16245146037939
3,2017-04-19,7,seasonal_naive_7d,4938.23583984375,7887.7705078125,10.504693984985352
3,2017-04-19,14,sarimax_cluster_daily,1989.858432755284,3151.2712220239746,4.514696713855339
3,2017-04-19,14,seasonal_naive_7d,8191.74853515625,16639.986328125,14.031064987182617
3,2017-04-19,28,sarimax_cluster_daily,2227.6354067881066,2942.5336972934056,5.6746745997053
3,2017-04-19,28,seasonal_naive_7d,8146.73974609375,16254.6640625,15.588444709777832
4,2017-05-29,7,sarimax_cluster_daily,3094.506455601382,3386.5618087135936,8.46862861190395
4,2017-05-29,7,seasonal_naive_7d,6541.07666015625,9698.548828125,12.539993286132812
4,2017-05-29,14,sarimax_cluster_daily,2969.8440020056064,3148.559512711715,8.124148708188681
4,2017-05-29,14,seasonal_naive_7d,6333.86767578125,9140.3876953125,13.16420841217041
4,2017-05-29,28,sarimax_cluster_daily,2994.158618489109,3297.6124893600827,8.235626927456943
4,2017-05-29,28,seasonal_naive_7d,4823.9697265625,7278.93896484375,10.668909072875977
5,2017-07-06,7,sarimax_cluster_daily,1672.7149073723244,2198.2520425981565,5.014735878307574
5,2017-07-06,7,seasonal_naive_7d,5344.57373046875,7868.501953125,11.436260223388672
5,2017-07-06,14,sarimax_cluster_daily,1434.8136091568533,1940.245375381549,4.116550442399323
5,2017-07-06,14,seasonal_naive_7d,4296.69482421875,6418.1435546875,9.38534927368164
5,2017-07-06,28,sarimax_cluster_daily,2210.133960023636,2946.3445206010047,5.711023034723799
5,2017-07-06,28,seasonal_naive_7d,4976.3720703125,8336.642578125,10.080853462219238
