cluster,best_order,best_seasonal_order,mae
1,"(1, 1, 1)","(1, 0, 1, 7)",2118.6957083162697
2,"(1, 0, 1)","(0, 1, 1, 7)",1784.371875124268
3,"(1, 0, 1)","(0, 1, 1, 7)",5472.443193880255
4,"(1, 1, 1)","(1, 0, 1, 7)",2773.554743167053
5,"(1, 0, 1)","(0, 1, 1, 7)",2044.329815913064
6,"(1, 0, 1)","(0, 1, 1, 7)",7494.195741256702
7,"(1, 0, 1)","(0, 1, 1, 7)",1375.6057594595582
8,"(1, 1, 1)","(1, 0, 1, 7)",2549.025369979391
9,"(1, 1, 1)","(1, 0, 1, 7)",779.7221731090858
10,"(1, 1, 1)","(1, 0, 1, 7)",5996.803045313623
11,"(1, 1, 1)","(1, 0, 1, 7)",5835.166192869434
12,"(2, 0, 1)","(1, 0, 1, 7)",830.0064288999567
13,"(1, 1, 1)","(1, 0, 1, 7)",2599.0061822256757
14,"(1, 1, 1)","(1, 0, 1, 7)",5691.977662865986
15,"(1, 1, 1)","(1, 0, 1, 7)",2551.8373371918565
16,"(0, 1, 1)","(0, 1, 1, 7)",900.9634201757838
17,"(1, 0, 2)","(1, 0, 1, 7)",1445.8749852928959
