order,seasonal_order,mae,rmse,mape_pct
"(0, 0, 0)","(0, 0, 0, 0)",45928.40054859834,54441.62616553035,100.0
"(0, 0, 0)","(0, 1, 1, 7)",27755.0865785571,37651.48716927385,56.000554932380766
"(0, 0, 0)","(1, 0, 1, 7)",29532.88051560679,40432.56310408298,52.69849911413793
"(0, 0, 1)","(0, 0, 0, 0)",45896.51555318321,54420.97661636219,99.92740845170057
"(0, 0, 1)","(0, 1, 1, 7)",27633.767645731485,37489.23519988276,56.04118331245422
"(0, 0, 1)","(1, 0, 1, 7)",29176.716537461354,39989.304871627,52.653356175276166
"(0, 0, 2)","(0, 0, 0, 0)",45890.76787777449,54418.18777585036,99.90187250137414
"(0, 0, 2)","(0, 1, 1, 7)",27674.707629428725,37537.88605998661,56.03580499758524
"(0, 0, 2)","(1, 0, 1, 7)",29235.733487089114,40053.831432474566,52.69693277656658
"(0, 1, 0)","(0, 0, 0, 0)",25863.837517233456,34912.65822708112,59.04730555713454
"(0, 1, 0)","(0, 1, 1, 7)",25778.065807412735,34617.90316069993,60.27771989956929
"(0, 1, 0)","(1, 0, 1, 7)",26305.169440087197,35618.312676269205,57.90824766506128
"(0, 1, 1)","(0, 0, 0, 0)",27559.10082207495,37364.43770733242,56.20007826837414
"(0, 1, 1)","(0, 1, 1, 7)",27680.227558241662,37591.68021023767,55.727416813726315
"(0, 1, 1)","(1, 0, 1, 7)",27585.685043494504,37403.93187939283,56.159681754993684
"(0, 1, 2)","(0, 0, 0, 0)",27582.49423749613,37398.65197959033,56.16704659279169
"(0, 1, 2)","(0, 1, 1, 7)",27707.33664761218,37633.995515804556,55.67369447058109
"(0, 1, 2)","(1, 0, 1, 7)",27590.469761330238,37411.459262745295,56.1509424969796
"(1, 0, 0)","(0, 0, 0, 0)",43926.21848350184,53284.60588424219,94.21402877545408
"(1, 0, 0)","(0, 1, 1, 7)",27543.20924184067,37361.060272083494,56.14600257492489
"(1, 0, 0)","(1, 0, 1, 7)",28736.664739924156,39377.88553878503,53.022203258782994
"(1, 0, 1)","(0, 0, 0, 0)",34811.28451367643,45839.63404623526,63.95227763265988
"(1, 0, 1)","(0, 1, 1, 7)",28705.837576754675,39183.74158209286,54.216681011053545
"(1, 0, 1)","(1, 0, 1, 7)",31404.165846620966,42806.02285177151,53.304585069276875
"(1, 0, 2)","(0, 0, 0, 0)",32631.49451093714,44015.56139150658,56.17877579849221
"(1, 0, 2)","(0, 1, 1, 7)",28555.432803954005,39014.22399601178,54.12205774693965
"(1, 0, 2)","(1, 0, 1, 7)",30350.2057548134,41599.14391057454,52.197515070167185
"(1, 1, 0)","(0, 0, 0, 0)",27010.793276298304,36589.22691539723,56.9206839783705
"(1, 1, 0)","(0, 1, 1, 7)",27068.860852768747,36697.48784468946,56.68490997836593
"(1, 1, 0)","(1, 0, 1, 7)",27154.330088006216,36801.15937595327,56.68535121823675
"(1, 1, 1)","(0, 0, 0, 0)",27595.332925900108,37417.55715336089,56.14864611813347
"(1, 1, 1)","(0, 1, 1, 7)",27748.83484671131,37705.39280501345,55.550678300424764
"(1, 1, 1)","(1, 0, 1, 7)",27593.72819472764,37416.41245697078,56.14572830441583
"(1, 1, 2)","(0, 0, 0, 0)",27543.86309266473,37343.17299530664,56.217175271444184
"(1, 1, 2)","(0, 1, 1, 7)",27698.081482528003,37630.2956504458,55.628149388655636
"(1, 1, 2)","(1, 0, 1, 7)",27574.56980501089,37388.70695156031,56.17084601077968
"(2, 0, 0)","(0, 0, 0, 0)",41740.58948709666,51628.28952428973,87.70578183896619
"(2, 0, 0)","(0, 1, 1, 7)",27652.946079342673,37530.07818894577,55.96757536745438
"(2, 0, 0)","(1, 0, 1, 7)",39431.5945509646,49717.9278088283,80.24670206933253
"(2, 0, 1)","(0, 0, 0, 0)",31564.230123109268,42978.97902460522,53.57593832834667
"(2, 0, 1)","(0, 1, 1, 7)",27541.37015437452,37358.83789427864,56.14653781180616
"(2, 0, 1)","(1, 0, 1, 7)",30039.855806089723,41204.834257326685,52.13259855826353
"(2, 0, 2)","(0, 0, 0, 0)",34241.43430439949,45371.61033049197,61.88941757927374
"(2, 0, 2)","(0, 1, 1, 7)",28629.70807509232,39108.94266862674,54.12542345246313
"(2, 0, 2)","(1, 0, 1, 7)",30822.99806874225,42172.70929460079,52.49717611184547
"(2, 1, 0)","(0, 0, 0, 0)",27119.886922174886,36743.53718338753,56.767403320521595
"(2, 1, 0)","(0, 1, 1, 7)",27173.82236889287,36842.119617523094,56.563197799771835
"(2, 1, 0)","(1, 0, 1, 7)",27254.12851117438,36940.25480221263,56.558705450711564
"(2, 1, 1)","(0, 0, 0, 0)",27618.41829144105,37451.619607984314,56.115729274327656
"(2, 1, 1)","(0, 1, 1, 7)",27767.814765633328,37731.74353267107,55.533841536264994
"(2, 1, 1)","(1, 0, 1, 7)",27607.631504592955,37436.29525001555,56.12832047398996
"(2, 1, 2)","(0, 0, 0, 0)",27575.4559042599,37389.32138787253,56.17304711709136
"(2, 1, 2)","(0, 1, 1, 7)",27729.02710092611,37678.34662256376,55.56743090610051
"(2, 1, 2)","(1, 0, 1, 7)",27578.39368052693,37394.851124491004,56.16352870158369
