cluster,order,seasonal_order,mae,error
1,"(1, 0, 1)","(1, 0, 1, 7)",2311.4077428481305,
1,"(1, 1, 1)","(1, 0, 1, 7)",2118.6957083162697,
1,"(0, 1, 1)","(0, 1, 1, 7)",2453.4245587626774,
1,"(1, 0, 1)","(0, 1, 1, 7)",2254.417247472238,
1,"(2, 0, 1)","(1, 0, 1, 7)",2328.417715336995,
1,"(1, 0, 2)","(1, 0, 1, 7)",2326.919972890379,
2,"(1, 0, 1)","(1, 0, 1, 7)",3221.0464988275835,
2,"(1, 1, 1)","(1, 0, 1, 7)",1792.2326225043023,
2,"(0, 1, 1)","(0, 1, 1, 7)",3378.1283552923933,
2,"(1, 0, 1)","(0, 1, 1, 7)",1784.371875124268,
2,"(2, 0, 1)","(1, 0, 1, 7)",3260.3743088128285,
2,"(1, 0, 2)","(1, 0, 1, 7)",3239.5278852848883,
3,"(1, 0, 1)","(1, 0, 1, 7)",9273.031553408468,
3,"(1, 1, 1)","(1, 0, 1, 7)",6498.237211079142,
3,"(0, 1, 1)","(0, 1, 1, 7)",7172.131040719484,
3,"(1, 0, 1)","(0, 1, 1, 7)",5472.443193880255,
3,"(2, 0, 1)","(1, 0, 1, 7)",9196.112586632597,
3,"(1, 0, 2)","(1, 0, 1, 7)",8863.040452573234,
4,"(1, 0, 1)","(1, 0, 1, 7)",3641.7599300285265,
4,"(1, 1, 1)","(1, 0, 1, 7)",2773.554743167053,
4,"(0, 1, 1)","(0, 1, 1, 7)",3102.9969587201294,
4,"(1, 0, 1)","(0, 1, 1, 7)",2964.709285841483,
4,"(2, 0, 1)","(1, 0, 1, 7)",3498.701020956718,
4,"(1, 0, 2)","(1, 0, 1, 7)",3550.7137497817353,
5,"(1, 0, 1)","(1, 0, 1, 7)",2204.539307457183,
5,"(1, 1, 1)","(1, 0, 1, 7)",2479.1339438294626,
5,"(0, 1, 1)","(0, 1, 1, 7)",3707.854949843079,
5,"(1, 0, 1)","(0, 1, 1, 7)",2044.329815913064,
5,"(2, 0, 1)","(1, 0, 1, 7)",2100.0805718508122,
5,"(1, 0, 2)","(1, 0, 1, 7)",2115.644639348509,
6,"(1, 0, 1)","(1, 0, 1, 7)",11612.298965470425,
6,"(1, 1, 1)","(1, 0, 1, 7)",8225.818327241825,
6,"(0, 1, 1)","(0, 1, 1, 7)",9721.763446027866,
6,"(1, 0, 1)","(0, 1, 1, 7)",7494.195741256702,
6,"(2, 0, 1)","(1, 0, 1, 7)",11509.15120307629,
6,"(1, 0, 2)","(1, 0, 1, 7)",11601.813661069376,
7,"(1, 0, 1)","(1, 0, 1, 7)",2878.1930949938546,
7,"(1, 1, 1)","(1, 0, 1, 7)",1675.005899865658,
7,"(0, 1, 1)","(0, 1, 1, 7)",1416.4046297632258,
7,"(1, 0, 1)","(0, 1, 1, 7)",1375.6057594595582,
7,"(2, 0, 1)","(1, 0, 1, 7)",3013.3091798819814,
7,"(1, 0, 2)","(1, 0, 1, 7)",2653.1998329627404,
8,"(1, 0, 1)","(1, 0, 1, 7)",3289.3713751533296,
8,"(1, 1, 1)","(1, 0, 1, 7)",2549.025369979391,
8,"(0, 1, 1)","(0, 1, 1, 7)",3457.789750783016,
8,"(1, 0, 1)","(0, 1, 1, 7)",4056.1939946093776,
8,"(2, 0, 1)","(1, 0, 1, 7)",2941.2888018343638,
8,"(1, 0, 2)","(1, 0, 1, 7)",3141.5585468243667,
9,"(1, 0, 1)","(1, 0, 1, 7)",1255.884399322762,
9,"(1, 1, 1)","(1, 0, 1, 7)",779.7221731090858,
9,"(0, 1, 1)","(0, 1, 1, 7)",2000.4639538595839,
9,"(1, 0, 1)","(0, 1, 1, 7)",904.5286609364781,
9,"(2, 0, 1)","(1, 0, 1, 7)",1141.5760260637721,
9,"(1, 0, 2)","(1, 0, 1, 7)",1213.3486724720303,
10,"(1, 0, 1)","(1, 0, 1, 7)",7749.564824255825,
10,"(1, 1, 1)","(1, 0, 1, 7)",5996.803045313623,
10,"(0, 1, 1)","(0, 1, 1, 7)",6578.948295057344,
10,"(1, 0, 1)","(0, 1, 1, 7)",6246.375412838051,
10,"(2, 0, 1)","(1, 0, 1, 7)",7857.869680003431,
10,"(1, 0, 2)","(1, 0, 1, 7)",7908.710488602394,
11,"(1, 0, 1)","(1, 0, 1, 7)",9251.561473512847,
11,"(1, 1, 1)","(1, 0, 1, 7)",5835.166192869434,
11,"(0, 1, 1)","(0, 1, 1, 7)",6185.450830250518,
11,"(1, 0, 1)","(0, 1, 1, 7)",8351.367791507591,
11,"(2, 0, 1)","(1, 0, 1, 7)",8946.929782869576,
11,"(1, 0, 2)","(1, 0, 1, 7)",8668.17570882768,
12,"(1, 0, 1)","(1, 0, 1, 7)",858.5460824137695,
12,"(1, 1, 1)","(1, 0, 1, 7)",854.1774219568138,
12,"(0, 1, 1)","(0, 1, 1, 7)",1652.3900074239539,
12,"(1, 0, 1)","(0, 1, 1, 7)",1250.9786211885726,
12,"(2, 0, 1)","(1, 0, 1, 7)",830.0064288999567,
12,"(1, 0, 2)","(1, 0, 1, 7)",837.466149050565,
13,"(1, 0, 1)","(1, 0, 1, 7)",3330.921302738348,
13,"(1, 1, 1)","(1, 0, 1, 7)",2599.0061822256757,
13,"(0, 1, 1)","(0, 1, 1, 7)",3116.314538778923,
13,"(1, 0, 1)","(0, 1, 1, 7)",4934.164839270326,
13,"(2, 0, 1)","(1, 0, 1, 7)",4131.827824610415,
13,"(1, 0, 2)","(1, 0, 1, 7)",3422.9156950108186,
14,"(1, 0, 1)","(1, 0, 1, 7)",7006.093010836716,
14,"(1, 1, 1)","(1, 0, 1, 7)",5691.977662865986,
14,"(0, 1, 1)","(0, 1, 1, 7)",8517.447089933827,
14,"(1, 0, 1)","(0, 1, 1, 7)",5829.038547069769,
14,"(2, 0, 1)","(1, 0, 1, 7)",6991.581563987535,
14,"(1, 0, 2)","(1, 0, 1, 7)",7091.039662293531,
15,"(1, 0, 1)","(1, 0, 1, 7)",2899.8277006196618,
15,"(1, 1, 1)","(1, 0, 1, 7)",2551.8373371918565,
15,"(0, 1, 1)","(0, 1, 1, 7)",3437.6006489161628,
15,"(1, 0, 1)","(0, 1, 1, 7)",2750.0100979669714,
15,"(2, 0, 1)","(1, 0, 1, 7)",2982.367090153539,
15,"(1, 0, 2)","(1, 0, 1, 7)",2967.5355529835724,
16,"(1, 0, 1)","(1, 0, 1, 7)",955.5335792528252,
16,"(1, 1, 1)","(1, 0, 1, 7)",1018.2391762172521,
16,"(0, 1, 1)","(0, 1, 1, 7)",900.9634201757838,
16,"(1, 0, 1)","(0, 1, 1, 7)",1084.1058493535252,
16,"(2, 0, 1)","(1, 0, 1, 7)",941.9447131383511,
16,"(1, 0, 2)","(1, 0, 1, 7)",951.8924172182112,
17,"(1, 0, 1)","(1, 0, 1, 7)",1455.7936649220073,
17,"(1, 1, 1)","(1, 0, 1, 7)",1519.8033262934332,
17,"(0, 1, 1)","(0, 1, 1, 7)",1615.718235483269,
17,"(1, 0, 1)","(0, 1, 1, 7)",1551.5177255966528,
17,"(2, 0, 1)","(1, 0, 1, 7)",1449.0185906299357,
17,"(1, 0, 2)","(1, 0, 1, 7)",1445.8749852928959,
