fold,train_end_date,horizon_days,model,mae,rmse,mape_pct
1,2017-01-31,7,xgboost_cluster_daily,2042.6845703125,3054.073974609375,4.389816761016846
1,2017-01-31,7,seasonal_naive_7d,7691.2236328125,11380.9140625,14.62989616394043
1,2017-01-31,14,xgboost_cluster_daily,2554.610595703125,4279.4619140625,5.818130970001221
1,2017-01-31,14,seasonal_naive_7d,6988.2880859375,10277.79296875,14.652173042297363
1,2017-01-31,28,xgboost_cluster_daily,3045.423583984375,5455.07373046875,6.89451265335083
1,2017-01-31,28,seasonal_naive_7d,5883.85986328125,9742.0166015625,12.606925964355469
2,2017-03-10,7,xgboost_cluster_daily,2552.171630859375,3800.412353515625,5.410452365875244
2,2017-03-10,7,seasonal_naive_7d,3564.455810546875,5095.91015625,8.943946838378906
2,2017-03-10,14,xgboost_cluster_daily,2203.081298828125,3346.042236328125,4.773760795593262
2,2017-03-10,14,seasonal_naive_7d,3432.154296875,4781.44775390625,8.266640663146973
2,2017-03-10,28,xgboost_cluster_daily,2701.546142578125,4380.55078125,6.141135215759277
2,2017-03-10,28,seasonal_naive_7d,4292.18408203125,6563.18603515625,9.79662799835205
3,2017-04-19,7,xgboost_cluster_daily,2881.0947265625,5262.50634765625,5.751430988311768
3,2017-04-19,7,seasonal_naive_7d,4938.23583984375,7887.7705078125,10.504693984985352
3,2017-04-19,14,xgboost_cluster_daily,4103.1748046875,8352.5244140625,7.211865425109863
3,2017-04-19,14,seasonal_naive_7d,8191.74853515625,16639.986328125,14.031064987182617
3,2017-04-19,28,xgboost_cluster_daily,3532.720703125,6647.97900390625,6.821950435638428
3,2017-04-19,28,seasonal_naive_7d,8146.73974609375,16254.6640625,15.588444709777832
4,2017-05-29,7,xgboost_cluster_daily,3566.3974609375,5382.07763671875,7.705918788909912
4,2017-05-29,7,seasonal_naive_7d,6541.07666015625,9698.548828125,12.539993286132812
4,2017-05-29,14,xgboost_cluster_daily,3097.33935546875,4539.36279296875,7.063224792480469
4,2017-05-29,14,seasonal_naive_7d,6333.86767578125,9140.3876953125,13.16420841217041
4,2017-05-29,28,xgboost_cluster_daily,2553.28515625,3821.21923828125,6.092665672302246
4,2017-05-29,28,seasonal_naive_7d,4823.9697265625,7278.93896484375,10.668909072875977
5,2017-07-06,7,xgboost_cluster_daily,1986.909423828125,3001.791015625,4.756406307220459
5,2017-07-06,7,seasonal_naive_7d,5344.57373046875,7868.501953125,11.436260223388672
5,2017-07-06,14,xgboost_cluster_daily,1719.4254150390625,2627.1181640625,4.200868606567383
5,2017-07-06,14,seasonal_naive_7d,4296.69482421875,6418.1435546875,9.38534927368164
5,2017-07-06,28,xgboost_cluster_daily,2252.322509765625,3456.295166015625,5.120865345001221
5,2017-07-06,28,seasonal_naive_7d,4976.3720703125,8336.642578125,10.080853462219238
