fold,train_end_date,horizon_days,model,mae,rmse,mape_pct
1,2017-01-31,7,xgboost_regularized_cluster_daily,2295.220703125,3063.6650390625,5.58298397064209
1,2017-01-31,7,seasonal_naive_7d,7691.2236328125,11380.9140625,14.62989616394043
1,2017-01-31,14,xgboost_regularized_cluster_daily,2661.206298828125,4082.756591796875,6.381719589233398
1,2017-01-31,14,seasonal_naive_7d,6988.2880859375,10277.79296875,14.652173042297363
1,2017-01-31,28,xgboost_regularized_cluster_daily,3291.034912109375,5650.79443359375,7.644347190856934
1,2017-01-31,28,seasonal_naive_7d,5883.85986328125,9742.0166015625,12.606925964355469
2,2017-03-10,7,xgboost_regularized_cluster_daily,2817.02197265625,4158.20947265625,6.4329400062561035
2,2017-03-10,7,seasonal_naive_7d,3564.455810546875,5095.91015625,8.943946838378906
2,2017-03-10,14,xgboost_regularized_cluster_daily,2454.195556640625,3878.34423828125,5.633040428161621
2,2017-03-10,14,seasonal_naive_7d,3432.154296875,4781.44775390625,8.266640663146973
2,2017-03-10,28,xgboost_regularized_cluster_daily,2837.6767578125,4744.3466796875,6.758055686950684
2,2017-03-10,28,seasonal_naive_7d,4292.18408203125,6563.18603515625,9.79662799835205
3,2017-04-19,7,xgboost_regularized_cluster_daily,2904.9638671875,4874.55126953125,6.382730484008789
3,2017-04-19,7,seasonal_naive_7d,4938.23583984375,7887.7705078125,10.504693984985352
3,2017-04-19,14,xgboost_regularized_cluster_daily,4014.042724609375,7804.36328125,7.619574069976807
3,2017-04-19,14,seasonal_naive_7d,8191.74853515625,16639.986328125,14.031064987182617
3,2017-04-19,28,xgboost_regularized_cluster_daily,3602.588623046875,6390.20751953125,7.5753679275512695
3,2017-04-19,28,seasonal_naive_7d,8146.73974609375,16254.6640625,15.588444709777832
4,2017-05-29,7,xgboost_regularized_cluster_daily,3314.8125,4817.8349609375,7.4698567390441895
4,2017-05-29,7,seasonal_naive_7d,6541.07666015625,9698.548828125,12.539993286132812
4,2017-05-29,14,xgboost_regularized_cluster_daily,2900.323974609375,4144.1240234375,7.066585063934326
4,2017-05-29,14,seasonal_naive_7d,6333.86767578125,9140.3876953125,13.16420841217041
4,2017-05-29,28,xgboost_regularized_cluster_daily,2568.746337890625,3693.8388671875,6.553614139556885
4,2017-05-29,28,seasonal_naive_7d,4823.9697265625,7278.93896484375,10.668909072875977
5,2017-07-06,7,xgboost_regularized_cluster_daily,1955.8470458984375,2829.6572265625,4.827815532684326
5,2017-07-06,7,seasonal_naive_7d,5344.57373046875,7868.501953125,11.436260223388672
5,2017-07-06,14,xgboost_regularized_cluster_daily,1818.7943115234375,2631.81884765625,4.525307655334473
5,2017-07-06,14,seasonal_naive_7d,4296.69482421875,6418.1435546875,9.38534927368164
5,2017-07-06,28,xgboost_regularized_cluster_daily,2368.947998046875,3587.2041015625,5.585578441619873
5,2017-07-06,28,seasonal_naive_7d,4976.3720703125,8336.642578125,10.080853462219238
