cluster,n_obs,r_squared,breusch_pagan_lm_pvalue,breusch_pagan_f_pvalue,ljung_box_pvalue_lag7,ljung_box_pvalue_lag14,residual_std,heteroskedasticity_flag,autocorrelation_flag_lag7,autocorrelation_flag_lag14
1,1684,0.7201182594603373,4.256829137774553e-44,2.2563261338835307e-48,0.0,0.0,6386.780289198598,True,True,True
2,1679,0.7207473180447836,7.805676017988019e-68,9.670877282974369e-78,0.0,0.0,4585.654592797485,True,True,True
3,1679,0.7561454151851124,1.0119485532981312e-17,1.600226204174831e-18,0.0,0.0,7119.946859738328,True,True,True
4,1679,0.7485754939461462,2.4375966466750483e-82,5.418516224830103e-97,0.0,0.0,4944.1725265062905,True,True,True
5,1679,0.7457524969827951,2.573557600563963e-75,1.544921543389971e-87,0.0,0.0,7355.618330881969,True,True,True
6,1679,0.7560661281855567,9.443453418520386e-30,8.312246478847286e-32,0.0,0.0,14544.914740509024,True,True,True
7,1641,0.7081717045717113,4.0436240319974844e-37,2.672820496053403e-40,0.0,0.0,2457.651136261259,True,True,True
8,1679,0.724064566303183,1.280317007018133e-72,5.649411810853475e-84,0.0,0.0,11891.88488324665,True,True,True
9,1679,0.6993128725732862,1.9277179114189575e-76,4.908841107751051e-89,0.0,0.0,3142.486174758823,True,True,True
10,1680,0.8345192877300855,4.2928867957485433e-60,6.947617671830829e-68,0.0,0.0,9148.039009253614,True,True,True
11,1679,0.7589992305592459,3.6038192222332106e-32,1.5206893408705846e-34,0.0,0.0,13252.251034424056,True,True,True
12,1677,0.8357243564245869,9.89100850809944e-69,6.467833186372386e-79,0.0,0.0,1784.013871839679,True,True,True
13,1679,0.7200289444114943,4.672210510108769e-07,3.3047929189325824e-07,0.0,0.0,8896.140043003086,True,True,True
14,1679,0.8096748349919597,5.711301456028883e-89,3.6867727903490297e-106,0.0,0.0,17089.135721484567,True,True,True
15,1679,0.7483318838336621,2.572821463848715e-47,3.1891075415707418e-52,0.0,0.0,4506.7732816013395,True,True,True
16,1569,0.6836256265365808,2.2755225153203326e-18,2.74583357045418e-19,2.9806710598182943e-282,0.0,1946.112028484617,True,True,True
17,1679,0.702867933517918,2.0569272129218718e-44,9.21707831881242e-49,0.0,0.0,3466.819142525974,True,True,True
